Ensembl_GeneID	HGNC_ID	HGNC_GeneSymbol	Control_GeneExpression_Level	Senescent_GeneExpression_Level
ENSG00000089127	HGNC:8086	OAS1	0.0100679994807178	8.91284217142911
ENSG00000126709	HGNC:4054	IFI6	7.86559064633566	527.392908300838
ENSG00000162692	HGNC:12663	VCAM1	0.866355183452452	25.4887054994967
ENSG00000104043	HGNC:13536	ATP8B4	0.0341308674045173	1.66193161896471
ENSG00000167900	HGNC:11830	TK1	37.050809621053	1.41226661766203
ENSG00000118971	HGNC:1583	CCND2	0.750107811667613	20.7550032032216
ENSG00000111335	HGNC:8087	OAS2	0.0227811793805594	6.48036885637509
ENSG00000064886	HGNC:1933	CHI3L2	0.015431742754904	5.23051017378799
ENSG00000160870	HGNC:2640	CYP3A7	0.0668918911972925	5.64544427753697
ENSG00000108691	HGNC:10618	CCL2	5.48046652032159	179.945565730698
ENSG00000196565	HGNC:4832	HBG2	1.06895092907931	42.2170478584355
ENSG00000213934	HGNC:4831	HBG1	1.51844455039531	54.3456315358976
ENSG00000145808	HGNC:17111	ADAMTS19	1.2144121008252	23.1216576761794
ENSG00000235385	HGNC:53015	LINC02154	0.0147485091943506	5.87555904724024
ENSG00000117594	HGNC:5208	HSD11B1	0.136507932015619	6.49113301579877
ENSG00000138642	HGNC:26072	HERC6	0.565152572266347	14.0774764638739
ENSG00000184357	HGNC:4719	H1-5	64.4429388407516	3.33725412559743
ENSG00000137975	HGNC:2016	CLCA2	0.0138632799789169	2.10663937020388
ENSG00000176971	HGNC:33747	FIBIN	1.50970261277601	19.5338660088668
ENSG00000143162	HGNC:2351	CREG1	2.81306884672443	25.6036806815461
ENSG00000140450	HGNC:28087	ARRDC4	1.0236594056772	21.016670633607
ENSG00000211445	HGNC:4555	GPX3	1.58166473985027	20.3596089457145
ENSG00000198901	HGNC:9341	PRC1	20.9195820823457	1.72605712444672
ENSG00000116741	HGNC:9998	RGS2	4.17767077445909	45.7634205160307
ENSG00000261115	HGNC:44112	TMEM178B	0.114931457624581	1.78809523825496
ENSG00000244694	HGNC:21345	PTCHD4	0.275644789723438	4.58392021972027
ENSG00000120337	HGNC:11932	TNFSF18	0.0898540541304932	9.35476931047094
ENSG00000117399	HGNC:1723	CDC20	13.3505312348674	0.75745312257408
ENSG00000125730	HGNC:1318	C3	0.0364367566461397	20.0120049646562
ENSG00000117724	HGNC:1857	CENPF	18.2191930292613	0.758649262486103
ENSG00000137804	HGNC:18538	NUSAP1	16.0293290932474	1.15256436449756
ENSG00000076382	HGNC:13452	SPAG5	7.88739685036727	0.606395028384404
ENSG00000105825	HGNC:11761	TFPI2	3.55273476230897	26.6520152735232
ENSG00000134321	HGNC:30908	RSAD2	0.00712559851539218	1.17261131277195
ENSG00000163347	HGNC:2032	CLDN1	7.22863054035126	70.5704331074274
ENSG00000179750	HGNC:17352	APOBEC3B	15.1722654674526	0.828793652032247
ENSG00000165949	HGNC:5397	IFI27	0.193735928184156	8.79977608088422
ENSG00000112984	HGNC:9787	KIF20A	47.7958582801353	2.1227375939178
ENSG00000111206	HGNC:3818	FOXM1	8.54442799679981	0.754093927073546
ENSG00000186193	HGNC:28055	SAPCD2	1.79731234419739	0.012014615511825
ENSG00000153234	HGNC:7981	NR4A2	0.487897403622971	3.90296617228931
ENSG00000107317	HGNC:9592	PTGDS	0.319358030206193	7.67270878425272
ENSG00000138180	HGNC:1161	CEP55	17.2278368430119	0.763184098055357
ENSG00000115919	HGNC:6469	KYNU	0.496347728471289	8.19819167956038
ENSG00000121039	HGNC:19975	RDH10	7.22527731104437	46.4602553574568
ENSG00000121769	HGNC:3557	FABP3	39.5529234424154	2.40311280682045
ENSG00000122966	HGNC:1985	CIT	2.77180314237369	0.218006152002978
ENSG00000040731	HGNC:1749	CDH10	0.0304744956959614	1.18962715490335
ENSG00000249310	HGNC:43836	APOBEC3B-AS1	22.182472842859	1.29629529347569
ENSG00000119917	HGNC:5411	IFIT3	9.725906782453	103.337624734076
ENSG00000119938	HGNC:9293	PPP1R3C	15.9722422863344	117.796955530991
ENSG00000258725	HGNC:48587	PRC1-AS1	21.1718327851639	1.69648708500804
ENSG00000148773	HGNC:7107	MKI67	15.9899224988529	0.666606836454153
ENSG00000118849	HGNC:9867	RARRES1	0.689548399139651	7.33950240181205
ENSG00000089685	HGNC:593	BIRC5	10.7508057954348	0.634186519629315
ENSG00000090889	HGNC:13339	KIF4A	8.41029242351228	0.488475396644105
ENSG00000189058	HGNC:612	APOD	0.0574869633526724	2.07918362735015
ENSG00000109321	HGNC:651	AREG	0.155265902185948	2.72232742730208
ENSG00000164619	HGNC:24154	BMPER	0.965931289965726	7.1162163721051
ENSG00000152154	HGNC:28517	TMEM178A	0.201212230512665	2.54414250395364
ENSG00000185745	HGNC:5407	IFIT1	6.79377830662544	93.2860730874367
ENSG00000123496	HGNC:5975	IL13RA2	0.185611970746403	4.07958264750874
ENSG00000197153	HGNC:4774	H3C12	63.6266976565366	4.7323729782075
ENSG00000112096	HGNC:11180	SOD2	2.07300692652695	20.8382356540037
ENSG00000125845	HGNC:1069	BMP2	0.345266771972621	2.43576027104198
ENSG00000175063	HGNC:15937	UBE2C	16.5133980788105	1.45184877419639
ENSG00000256040	HGNC:35152	PAPPA-AS1	3.54995385041269	29.3266537245155
ENSG00000075218	HGNC:13698	GTSE1	3.36439674891509	0.207168847966523
ENSG00000117650	HGNC:7745	NEK2	6.78639818978297	0.167787856468906
ENSG00000136244	HGNC:6018	IL6	2.40803200416566	27.5931639602865
ENSG00000088325	HGNC:1249	TPX2	51.602423532651	5.54236779789043
ENSG00000166851	HGNC:9077	PLK1	5.68193243908302	0.408371480681264
ENSG00000142945	HGNC:6393	KIF2C	5.79735552520781	0.343325028322816
ENSG00000178999	HGNC:11390	AURKB	3.79324975739482	0.150740975897669
ENSG00000159167	HGNC:11373	STC1	13.5607811733093	96.908505691056
ENSG00000086696	HGNC:5211	HSD17B2	1.34246235635439	9.85968158275875
ENSG00000196562	HGNC:20392	SULF2	0.335588639743905	2.82082326670233
ENSG00000135919	HGNC:8951	SERPINE2	4.03484383586992	22.4348645187647
ENSG00000137965	HGNC:16938	IFI44	1.93889714919326	21.0827072644158
ENSG00000062282	HGNC:16940	DGAT2	0.0120362101585547	0.419428342633798
